Key,Value
Email_Duplication_Exception, "This email address is already registered."
Invalid_Admin_Access, "Sorry, you cannot register as an Admin. Please contact administration if you need help"
Invalid_Email_Format, "Invalid Email Format, please use valid email format like abc@example.com'"
Invalid_Password_Format, "Password must be between 8 and 100 characters and should match the regular expression pattern"
PersonName_Exception_Message, "Invalid syntax for FirstName, MiddleName or LastName"
User_Registration_Error, "Error occurred while Creating the user registration!"
Unregistered_User_Error, "Unregistered user found. Please try registering the User before Logging in"
Invalid_Credentials_Error,"Invalid credentials. Please check your email or password."
Invalid_JWT_TokenLength_Error, "The JWT key is too short. It must be at least 256 bits (32 bytes) long."
